donut number = 2, In-ptr =  1, serial-counter =  1
donut number = 2, In-ptr =  2, serial-counter =  2
donut number = 3, In-ptr =  1, serial-counter =  1
donut number = 1, In-ptr =  1, serial-counter =  1
donut number = 2, In-ptr =  3, serial-counter =  3
donut number = 0, In-ptr =  1, serial-counter =  1
donut number = 2, In-ptr =  4, serial-counter =  4
donut number = 3, In-ptr =  2, serial-counter =  2
donut number = 0, In-ptr =  2, serial-counter =  2
donut number = 0, In-ptr =  3, serial-counter =  3
donut number = 0, In-ptr =  4, serial-counter =  4
donut number = 3, In-ptr =  3, serial-counter =  3
donut number = 2, In-ptr =  5, serial-counter =  5
donut number = 0, In-ptr =  5, serial-counter =  5
donut number = 3, In-ptr =  4, serial-counter =  4
donut number = 3, In-ptr =  5, serial-counter =  5
donut number = 1, In-ptr =  2, serial-counter =  2
donut number = 3, In-ptr =  6, serial-counter =  6
donut number = 1, In-ptr =  3, serial-counter =  3
donut number = 1, In-ptr =  4, serial-counter =  4
donut number = 3, In-ptr =  7, serial-counter =  7
donut number = 0, In-ptr =  6, serial-counter =  6
donut number = 3, In-ptr =  8, serial-counter =  8
donut number = 3, In-ptr =  9, serial-counter =  9
donut number = 3, In-ptr =  10, serial-counter =  10
donut number = 2, In-ptr =  6, serial-counter =  6
donut number = 3, In-ptr =  11, serial-counter =  11
donut number = 1, In-ptr =  5, serial-counter =  5
donut number = 0, In-ptr =  7, serial-counter =  7
donut number = 2, In-ptr =  7, serial-counter =  7
donut number = 0, In-ptr =  8, serial-counter =  8
donut number = 1, In-ptr =  6, serial-counter =  6
donut number = 3, In-ptr =  12, serial-counter =  12
donut number = 3, In-ptr =  13, serial-counter =  13
donut number = 3, In-ptr =  14, serial-counter =  14
donut number = 3, In-ptr =  15, serial-counter =  15
donut number = 3, In-ptr =  16, serial-counter =  16
donut number = 1, In-ptr =  7, serial-counter =  7
donut number = 3, In-ptr =  17, serial-counter =  17
donut number = 3, In-ptr =  18, serial-counter =  18
donut number = 3, In-ptr =  19, serial-counter =  19
donut number = 0, In-ptr =  9, serial-counter =  9
donut number = 2, In-ptr =  8, serial-counter =  8
donut number = 1, In-ptr =  8, serial-counter =  8
donut number = 3, In-ptr =  20, serial-counter =  20
donut number = 0, In-ptr =  10, serial-counter =  10
donut number = 2, In-ptr =  9, serial-counter =  9
donut number = 3, In-ptr =  21, serial-counter =  21
donut number = 1, In-ptr =  9, serial-counter =  9
donut number = 3, In-ptr =  22, serial-counter =  22
donut number = 3, In-ptr =  23, serial-counter =  23
donut number = 1, In-ptr =  10, serial-counter =  10
donut number = 3, In-ptr =  24, serial-counter =  24
donut number = 3, In-ptr =  25, serial-counter =  25
donut number = 3, In-ptr =  26, serial-counter =  26
donut number = 2, In-ptr =  10, serial-counter =  10
donut number = 1, In-ptr =  11, serial-counter =  11
donut number = 3, In-ptr =  27, serial-counter =  27
donut number = 1, In-ptr =  12, serial-counter =  12
donut number = 0, In-ptr =  11, serial-counter =  11
donut number = 0, In-ptr =  12, serial-counter =  12
In signal handler with signal # 2
rial-counter =  12
donut number = 1, In-ptr =  13, serial-counter =  13
donut number = 3, In-ptr =  22, serial-counter =  22
donut number = 1, In-ptr =  14, serial-counter =  14
donut number = 0, In-ptr =  13, serial-counter =  13
donut number = 2, In-ptr =  18, serial-counter =  18
donut number = 0, In-ptr =  14, serial-counter =  14
donut number = 1, In-ptr =  15, serial-counter =  15
donut number = 2, In-ptr =  19, serial-counter =  19
donut number = 2, In-ptr =  20, serial-counter =  20
donut number = 3, In-ptr =  23, serial-counter =  23
