donut number = 1, In-ptr =  1, serial-counter =  1
donut number = 1, In-ptr =  2, serial-counter =  2
donut number = 1, In-ptr =  3, serial-counter =  3
donut number = 2, In-ptr =  1, serial-counter =  1
donut number = 1, In-ptr =  4, serial-counter =  4
donut number = 1, In-ptr =  5, serial-counter =  5
donut number = 2, In-ptr =  2, serial-counter =  2
donut number = 1, In-ptr =  6, serial-counter =  6
donut number = 0, In-ptr =  1, serial-counter =  1
donut number = 0, In-ptr =  2, serial-counter =  2
donut number = 2, In-ptr =  3, serial-counter =  3
donut number = 0, In-ptr =  3, serial-counter =  3
donut number = 0, In-ptr =  4, serial-counter =  4
donut number = 0, In-ptr =  5, serial-counter =  5
donut number = 2, In-ptr =  4, serial-counter =  4
donut number = 1, In-ptr =  7, serial-counter =  7
donut number = 2, In-ptr =  5, serial-counter =  5
donut number = 0, In-ptr =  6, serial-counter =  6
donut number = 2, In-ptr =  6, serial-counter =  6
donut number = 3, In-ptr =  1, serial-counter =  1
donut number = 1, In-ptr =  8, serial-counter =  8
donut number = 2, In-ptr =  7, serial-counter =  7
donut number = 3, In-ptr =  2, serial-counter =  2
donut number = 1, In-ptr =  9, serial-counter =  9
donut number = 1, In-ptr =  10, serial-counter =  10
donut number = 1, In-ptr =  11, serial-counter =  11
donut number = 2, In-ptr =  8, serial-counter =  8
donut number = 1, In-ptr =  12, serial-counter =  12
donut number = 2, In-ptr =  9, serial-counter =  9
donut number = 0, In-ptr =  7, serial-counter =  7
donut number = 3, In-ptr =  3, serial-counter =  3
donut number = 3, In-ptr =  4, serial-counter =  4
donut number = 3, In-ptr =  5, serial-counter =  5
donut number = 2, In-ptr =  10, serial-counter =  10
donut number = 3, In-ptr =  6, serial-counter =  6
donut number = 3, In-ptr =  7, serial-counter =  7
donut number = 3, In-ptr =  8, serial-counter =  8
donut number = 3, In-ptr =  9, serial-counter =  9
donut number = 0, In-ptr =  8, serial-counter =  8
donut number = 2, In-ptr =  11, serial-counter =  11
donut number = 2, In-ptr =  12, serial-counter =  12
donut number = 0, In-ptr =  9, serial-counter =  9
donut number = 2, In-ptr =  13, serial-counter =  13
donut number = 1, In-ptr =  13, serial-counter =  13
donut number = 3, In-ptr =  10, serial-counter =  10
donut number = 2, In-ptr =  14, serial-counter =  14
donut number = 3, In-ptr =  11, serial-counter =  11
donut number = 1, In-ptr =  14, serial-counter =  14
donut number = 3, In-ptr =  12, serial-counter =  12
donut number = 3, In-ptr =  13, serial-counter =  13
donut number = 1, In-ptr =  15, serial-counter =  15
donut number = 3, In-ptr =  14, serial-counter =  14
donut number = 2, In-ptr =  15, serial-counter =  15
donut number = 2, In-ptr =  16, serial-counter =  16
donut number = 0, In-ptr =  10, serial-counter =  10
donut number = 2, In-ptr =  17, serial-counter =  17
donut number = 2, In-ptr =  18, serial-counter =  18
donut number = 2, In-ptr =  19, serial-counter =  19
donut number = 3, In-ptr =  15, serial-counter =  15
donut number = 0, In-ptr =  11, serial-counter =  11
donut number = 3, In-ptr =  16, serial-counter =  16
donut number = 3, In-ptr =  17, serial-counter =  17
donut number = 3, In-ptr =  18, serial-counter =  18
donut number = 2, In-ptr =  20, serial-counter =  20
donut number = 3, In-ptr =  19, serial-counter =  19
donut number = 0, In-ptr =  12, serial-counter =  12
donut number = 3, In-ptr =  20, serial-counter =  20
donut number = 0, In-ptr =  13, serial-counter =  13
donut number = 3, In-ptr =  21, serial-counter =  21
donut number = 1, In-ptr =  16, serial-counter =  16
donut number = 0, In-ptr =  14, serial-counter =  14
donut number = 1, In-ptr =  17, serial-counter =  17
donut number = 3, In-ptr =  22, serial-counter =  22
donut number = 2, In-ptr =  21, serial-counter =  21
donut number = 1, In-ptr =  18, serial-counter =  18
donut number = 3, In-ptr =  23, serial-counter =  23
donut number = 0, In-ptr =  15, serial-counter =  15
donut number = 1, In-ptr =  19, serial-counter =  19
donut number = 0, In-ptr =  16, serial-counter =  16
donut number = 0, In-ptr =  17, serial-counter =  17
donut number = 3, In-ptr =  24, serial-counter =  24
donut number = 2, In-ptr =  22, serial-counter =  22
donut number = 2, In-ptr =  23, serial-counter =  23
donut number = 1, In-ptr =  20, serial-counter =  20
donut number = 3, In-ptr =  25, serial-counter =  25
donut number = 3, In-ptr =  26, serial-counter =  26
donut number = 1, In-ptr =  21, serial-counter =  21
donut number = 0, In-ptr =  18, serial-counter =  18
donut number = 0, In-ptr =  19, serial-counter =  19
donut number = 2, In-ptr =  24, serial-counter =  24
donut number = 0, In-ptr =  20, serial-counter =  20
donut number = 2, In-ptr =  25, serial-counter =  25
donut number = 2, In-ptr =  26, serial-counter =  26
donut number = 0, In-ptr =  21, serial-counter =  21
donut number = 0, In-ptr =  22, serial-counter =  22
donut number = 1, In-ptr =  22, serial-counter =  22
donut number = 0, In-ptr =  23, serial-counter =  23
donut number = 0, In-ptr =  24, serial-counter =  24
donut number = 0, In-ptr =  25, serial-counter =  25
donut number = 1, In-ptr =  23, serial-counter =  23
donut number = 2, In-ptr =  27, serial-counter =  27
donut number = 3, In-ptr =  27, serial-counter =  27
donut number = 2, In-ptr =  28, serial-counter =  28
donut number = 2, In-ptr =  29, serial-counter =  29
donut number = 3, In-ptr =  28, serial-counter =  28
donut number = 2, In-ptr =  30, serial-counter =  30
donut number = 2, In-ptr =  31, serial-counter =  31
donut number = 2, In-ptr =  32, serial-counter =  32
donut number = 2, In-ptr =  33, serial-counter =  33
donut number = 1, In-ptr =  24, serial-counter =  24
donut number = 2, In-ptr =  34, serial-counter =  34
donut number = 1, In-ptr =  25, serial-counter =  25
donut number = 3, In-ptr =  29, serial-counter =  29
donut number = 0, In-ptr =  26, serial-counter =  26
donut number = 0, In-ptr =  27, serial-counter =  27
donut number = 1, In-ptr =  26, serial-counter =  26
donut number = 1, In-ptr =  27, serial-counter =  27
donut number = 3, In-ptr =  30, serial-counter =  30
donut number = 1, In-ptr =  28, serial-counter =  28
donut number = 2, In-ptr =  35, serial-counter =  35
donut number = 3, In-ptr =  31, serial-counter =  31
donut number = 3, In-ptr =  32, serial-counter =  32
donut number = 2, In-ptr =  36, serial-counter =  36
donut number = 2, In-ptr =  37, serial-counter =  37
donut number = 3, In-ptr =  33, serial-counter =  33
donut number = 0, In-ptr =  28, serial-counter =  28
donut number = 2, In-ptr =  38, serial-counter =  38
donut number = 2, In-ptr =  39, serial-counter =  39
donut number = 0, In-ptr =  29, serial-counter =  29
donut number = 2, In-ptr =  0, serial-counter =  40
donut number = 2, In-ptr =  1, serial-counter =  41
donut number = 1, In-ptr =  29, serial-counter =  29
donut number = 0, In-ptr =  30, serial-counter =  30
donut number = 1, In-ptr =  30, serial-counter =  30
donut number = 2, In-ptr =  2, serial-counter =  42
donut number = 1, In-ptr =  31, serial-counter =  31
donut number = 2, In-ptr =  3, serial-counter =  43
donut number = 1, In-ptr =  32, serial-counter =  32
donut number = 1, In-ptr =  33, serial-counter =  33
donut number = 1, In-ptr =  34, serial-counter =  34
donut number = 3, In-ptr =  34, serial-counter =  34
donut number = 2, In-ptr =  4, serial-counter =  44
donut number = 0, In-ptr =  31, serial-counter =  31
donut number = 2, In-ptr =  5, serial-counter =  45
donut number = 0, In-ptr =  32, serial-counter =  32
donut number = 1, In-ptr =  35, serial-counter =  35
donut number = 0, In-ptr =  33, serial-counter =  33
donut number = 3, In-ptr =  35, serial-counter =  35
donut number = 0, In-ptr =  34, serial-counter =  34
donut number = 0, In-ptr =  35, serial-counter =  35
donut number = 1, In-ptr =  36, serial-counter =  36
donut number = 0, In-ptr =  36, serial-counter =  36
donut number = 2, In-ptr =  6, serial-counter =  46
donut number = 1, In-ptr =  37, serial-counter =  37
donut number = 3, In-ptr =  36, serial-counter =  36
donut number = 1, In-ptr =  38, serial-counter =  38
donut number = 1, In-ptr =  39, serial-counter =  39
donut number = 3, In-ptr =  37, serial-counter =  37
donut number = 1, In-ptr =  0, serial-counter =  40
donut number = 0, In-ptr =  37, serial-counter =  37
donut number = 2, In-ptr =  7, serial-counter =  47
donut number = 0, In-ptr =  38, serial-counter =  38
donut number = 2, In-ptr =  8, serial-counter =  48
donut number = 1, In-ptr =  1, serial-counter =  41
donut number = 0, In-ptr =  39, serial-counter =  39
donut number = 3, In-ptr =  38, serial-counter =  38
donut number = 3, In-ptr =  39, serial-counter =  39
donut number = 3, In-ptr =  0, serial-counter =  40
donut number = 0, In-ptr =  0, serial-counter =  40
donut number = 2, In-ptr =  9, serial-counter =  49
donut number = 2, In-ptr =  10, serial-counter =  50
donut number = 1, In-ptr =  2, serial-counter =  42
donut number = 3, In-ptr =  1, serial-counter =  41
donut number = 0, In-ptr =  1, serial-counter =  41
donut number = 1, In-ptr =  3, serial-counter =  43
donut number = 3, In-ptr =  2, serial-counter =  42
donut number = 0, In-ptr =  2, serial-counter =  42
donut number = 2, In-ptr =  11, serial-counter =  51
donut number = 0, In-ptr =  3, serial-counter =  43
donut number = 2, In-ptr =  12, serial-counter =  52
donut number = 2, In-ptr =  13, serial-counter =  53
donut number = 3, In-ptr =  3, serial-counter =  43
donut number = 1, In-ptr =  4, serial-counter =  44
donut number = 2, In-ptr =  14, serial-counter =  54
donut number = 0, In-ptr =  4, serial-counter =  44
donut number = 3, In-ptr =  4, serial-counter =  44
donut number = 2, In-ptr =  15, serial-counter =  55
donut number = 3, In-ptr =  5, serial-counter =  45
donut number = 1, In-ptr =  5, serial-counter =  45
donut number = 0, In-ptr =  5, serial-counter =  45
donut number = 0, In-ptr =  6, serial-counter =  46
donut number = 0, In-ptr =  7, serial-counter =  47
donut number = 2, In-ptr =  16, serial-counter =  56
donut number = 1, In-ptr =  6, serial-counter =  46
donut number = 2, In-ptr =  17, serial-counter =  57
donut number = 1, In-ptr =  7, serial-counter =  47
donut number = 3, In-ptr =  6, serial-counter =  46
donut number = 0, In-ptr =  8, serial-counter =  48
donut number = 2, In-ptr =  18, serial-counter =  58
donut number = 2, In-ptr =  19, serial-counter =  59
donut number = 1, In-ptr =  8, serial-counter =  48
donut number = 2, In-ptr =  20, serial-counter =  60
donut number = 2, In-ptr =  21, serial-counter =  61
donut number = 2, In-ptr =  22, serial-counter =  62
donut number = 3, In-ptr =  7, serial-counter =  47
donut number = 3, In-ptr =  8, serial-counter =  48
donut number = 0, In-ptr =  9, serial-counter =  49
donut number = 2, In-ptr =  23, serial-counter =  63
donut number = 0, In-ptr =  10, serial-counter =  50
donut number = 2, In-ptr =  24, serial-counter =  64
donut number = 2, In-ptr =  25, serial-counter =  65
donut number = 3, In-ptr =  9, serial-counter =  49
donut number = 2, In-ptr =  26, serial-counter =  66
donut number = 1, In-ptr =  9, serial-counter =  49
donut number = 0, In-ptr =  11, serial-counter =  51
donut number = 0, In-ptr =  12, serial-counter =  52
donut number = 2, In-ptr =  27, serial-counter =  67
donut number = 1, In-ptr =  10, serial-counter =  50
donut number = 0, In-ptr =  13, serial-counter =  53
donut number = 0, In-ptr =  14, serial-counter =  54
donut number = 2, In-ptr =  28, serial-counter =  68
donut number = 1, In-ptr =  11, serial-counter =  51
donut number = 0, In-ptr =  15, serial-counter =  55
donut number = 0, In-ptr =  16, serial-counter =  56
donut number = 0, In-ptr =  17, serial-counter =  57
donut number = 2, In-ptr =  29, serial-counter =  69
donut number = 0, In-ptr =  18, serial-counter =  58
donut number = 0, In-ptr =  19, serial-counter =  59
donut number = 0, In-ptr =  20, serial-counter =  60
donut number = 2, In-ptr =  30, serial-counter =  70
donut number = 3, In-ptr =  10, serial-counter =  50
donut number = 0, In-ptr =  21, serial-counter =  61
donut number = 1, In-ptr =  12, serial-counter =  52
donut number = 0, In-ptr =  22, serial-counter =  62
donut number = 0, In-ptr =  23, serial-counter =  63
donut number = 3, In-ptr =  11, serial-counter =  51
donut number = 2, In-ptr =  31, serial-counter =  71
donut number = 2, In-ptr =  32, serial-counter =  72
donut number = 2, In-ptr =  33, serial-counter =  73
donut number = 0, In-ptr =  24, serial-counter =  64
donut number = 1, In-ptr =  13, serial-counter =  53
donut number = 2, In-ptr =  34, serial-counter =  74
donut number = 1, In-ptr =  14, serial-counter =  54
donut number = 2, In-ptr =  35, serial-counter =  75
donut number = 2, In-ptr =  36, serial-counter =  76
donut number = 0, In-ptr =  25, serial-counter =  65
donut number = 0, In-ptr =  26, serial-counter =  66
donut number = 2, In-ptr =  37, serial-counter =  77
donut number = 1, In-ptr =  15, serial-counter =  55
donut number = 0, In-ptr =  27, serial-counter =  67
donut number = 3, In-ptr =  12, serial-counter =  52
donut number = 3, In-ptr =  13, serial-counter =  53
donut number = 1, In-ptr =  16, serial-counter =  56
donut number = 1, In-ptr =  17, serial-counter =  57
donut number = 1, In-ptr =  18, serial-counter =  58
donut number = 2, In-ptr =  38, serial-counter =  78
donut number = 0, In-ptr =  28, serial-counter =  68
donut number = 1, In-ptr =  19, serial-counter =  59
donut number = 0, In-ptr =  29, serial-counter =  69
donut number = 3, In-ptr =  14, serial-counter =  54
donut number = 0, In-ptr =  30, serial-counter =  70
donut number = 0, In-ptr =  31, serial-counter =  71
donut number = 2, In-ptr =  39, serial-counter =  79
donut number = 0, In-ptr =  32, serial-counter =  72
donut number = 0, In-ptr =  33, serial-counter =  73
donut number = 0, In-ptr =  34, serial-counter =  74
donut number = 0, In-ptr =  35, serial-counter =  75
donut number = 1, In-ptr =  20, serial-counter =  60
donut number = 1, In-ptr =  21, serial-counter =  61
donut number = 3, In-ptr =  15, serial-counter =  55
donut number = 3, In-ptr =  16, serial-counter =  56
donut number = 2, In-ptr =  0, serial-counter =  80
donut number = 1, In-ptr =  22, serial-counter =  62
donut number = 1, In-ptr =  23, serial-counter =  63
donut number = 2, In-ptr =  1, serial-counter =  81
donut number = 2, In-ptr =  2, serial-counter =  82
donut number = 2, In-ptr =  3, serial-counter =  83
donut number = 1, In-ptr =  24, serial-counter =  64
donut number = 3, In-ptr =  17, serial-counter =  57
donut number = 1, In-ptr =  25, serial-counter =  65
donut number = 1, In-ptr =  26, serial-counter =  66
donut number = 3, In-ptr =  18, serial-counter =  58
donut number = 1, In-ptr =  27, serial-counter =  67
donut number = 0, In-ptr =  36, serial-counter =  76
donut number = 1, In-ptr =  28, serial-counter =  68
donut number = 3, In-ptr =  19, serial-counter =  59
donut number = 3, In-ptr =  20, serial-counter =  60
donut number = 0, In-ptr =  37, serial-counter =  77
donut number = 2, In-ptr =  4, serial-counter =  84
donut number = 1, In-ptr =  29, serial-counter =  69
donut number = 0, In-ptr =  38, serial-counter =  78
donut number = 1, In-ptr =  30, serial-counter =  70
donut number = 2, In-ptr =  5, serial-counter =  85
donut number = 1, In-ptr =  31, serial-counter =  71
